ExternalID__c,Name,BillingCity,BillingCountry,BillingPostalCode,BillingState,BillingStreet,CreatedDate,Industry,Phone,Website
ACC-1,Duarte Group,Donaldfurt,French Guiana,55126,Vermont,63478 Todd Roads,2023-02-04T01:14:00+0200,Manufacturing,001-307-839-8644,https://www.duartegroup.com
ACC-2,Owens PLC,Steventon,Qatar,94430,Indiana,82148 Wilson Ports Suite 373,2023-10-11T04:32:00+0200,Manufacturing,856.513.0525x77764,https://www.owensplc.com
ACC-3,Stafford and Sons,Vangtown,Angola,62110,New Hampshire,771 Valerie Ridge Apt. 100,2024-02-01T19:05:00+0200,Manufacturing,509-688-5570x70508,https://www.staffordandsons.com
ACC-4,Williams Inc,Martinberg,Switzerland,51373,Kansas,093 Jennifer Streets Suite 773,2024-05-31T17:30:00+0200,Technology,+1-616-597-1725x693,https://www.williamsinc.com
ACC-5,Mckee PLC,Williamsfort,Libyan Arab Jamahiriya,10542,Oklahoma,94214 Gregory Course Suite 827,2024-12-02T12:33:00+0200,Real Estate,901649264,https://www.mckeeplc.com
ACC-6,Barker-Robles,Brianland,Serbia,36297,Alaska,6096 Brown Loop Suite 930,2021-01-08T18:24:00+0200,Manufacturing,(512)548-8914x5085,https://www.barker-robles.com
ACC-7,Gonzales Inc,Shawnmouth,Saint Vincent and the Grenadines,61566,Alabama,66403 Nina Port,2024-04-09T17:01:00+0200,Retail,(683)313-2756,https://www.gonzalesinc.com
ACC-8,"Martinez, Payne and Weber",New Donaldview,Congo,50729,Kentucky,65028 Baker Bypass Suite 159,2022-06-06T11:55:00+0200,Hospitality,001-245-594-7957,"https://www.martinez,payneandweber.com"
ACC-9,Smith Group,Johnburgh,Bolivia,46286,Georgia,566 Tran Union,2023-12-01T10:21:00+0200,Healthcare,(074)332-4497,https://www.smithgroup.com
ACC-10,Murphy PLC,East Raymondstad,Benin,61056,Florida,5159 Harris Manor,2021-12-03T12:40:00+0200,Education,519233434,https://www.murphyplc.com
ACC-11,Pham Ltd,Port Allison,Portugal,78196,Illinois,74206 Johnson Views,2021-08-06T19:30:00+0200,Retail,(859)256-4412x05346,https://www.phamltd.com
ACC-12,Becker-Hunt,Williamsbury,Bahrain,54311,North Dakota,588 Melissa Plaza,2022-10-12T23:42:00+0200,Real Estate,(618)237-4182x98335,https://www.becker-hunt.com
ACC-13,Mckinney-Young,North David,Gibraltar,53789,Missouri,06022 Williams Camp,2021-05-07T14:37:00+0200,Education,(751)301-0917x708,https://www.mckinney-young.com
ACC-14,Gates Inc,Andrewhaven,American Samoa,99680,Ohio,18494 Robert Burgs,2021-08-04T20:17:00+0200,Real Estate,225.810.7628,https://www.gatesinc.com
ACC-15,Moon-Little,East Brandyhaven,Seychelles,86679,Kansas,5295 Mark Villages Suite 516,2021-08-08T06:38:00+0200,Consulting,259.981.3651x10225,https://www.moon-little.com
ACC-16,"Cummings, Kramer and Thompson",Lake Bonnie,Ethiopia,50991,Nebraska,76908 Paul Light,2020-08-08T03:36:00+0200,Healthcare,070.773.9846x35278,"https://www.cummings,kramerandthompson.com"
ACC-17,"Wilson, Page and Morris",West Meghan,Liberia,16725,West Virginia,5735 Samuel Crossing,2021-09-02T15:33:00+0200,Education,+1-690-720-4355x422,"https://www.wilson,pageandmorris.com"
ACC-18,"Jones, Morales and Rowe",Johnstonport,Tuvalu,89718,California,948 Susan Cove,2022-11-07T21:08:00+0200,Real Estate,(236)653-7130,"https://www.jones,moralesandrowe.com"
ACC-19,Burch and Sons,West Peterhaven,Lebanon,33918,Ohio,88319 David Radial,2021-11-12T04:21:00+0200,Manufacturing,001-291-465-3715x61472,https://www.burchandsons.com
ACC-20,Mitchell-Roberts,North Matthewport,Togo,61314,Massachusetts,4905 Scott Views Apt. 737,2022-09-02T15:06:00+0200,Healthcare,+1-005-589-5935,https://www.mitchell-roberts.com
ACC-21,Brown LLC,Warrenfurt,Guam,93562,Texas,73492 James Springs Suite 393,2023-09-05T21:17:00+0200,Hospitality,754.418.8952x7083,https://www.brownllc.com
ACC-22,Boyd-Blake,New Kristine,Tuvalu,57391,Indiana,0123 Robertson Viaduct,2021-01-03T17:01:00+0200,Manufacturing,(463)910-5294x8268,https://www.boyd-blake.com
ACC-23,"Jackson, Valdez and Morgan",Port Caitlin,Vietnam,86607,Ohio,266 Haynes Greens,2025-01-06T23:39:00+0200,Transportation,196.082.3397x1620,"https://www.jackson,valdezandmorgan.com"
ACC-24,Eaton-Brown,Lake John,Romania,2907,Minnesota,2958 Zavala Avenue,2022-02-04T11:55:00+0200,Transportation,(110)627-4524,https://www.eaton-brown.com
ACC-25,Hamilton-Newton,Ryanmouth,Kyrgyz Republic,74163,North Carolina,97993 Bautista Expressway Suite 512,2023-03-03T17:10:00+0200,Technology,4749028831,https://www.hamilton-newton.com
ACC-26,Clark LLC,East Katherine,Egypt,3015,Alabama,082 Lindsay Bridge,2022-12-04T06:36:00+0200,Consulting,001-515-145-2809x4214,https://www.clarkllc.com
ACC-27,Gonzalez Ltd,Vanessaton,San Marino,87756,Louisiana,20125 Anne Park Suite 099,2020-03-10T18:24:00+0200,Retail,428.315.7636,https://www.gonzalezltd.com
ACC-28,"Hull, Porter and Lewis",East Stephanie,Ecuador,44664,Iowa,214 Kaitlyn Courts Apt. 425,2020-11-04T18:51:00+0200,Real Estate,8576943612,"https://www.hull,porterandlewis.com"
ACC-29,"Poole, Lee and Jackson",Christinemouth,Dominican Republic,23183,Delaware,45898 Evans Drive Suite 592,2023-03-12T20:10:00+0200,Manufacturing,520.522.0872x4332,"https://www.poole,leeandjackson.com"
ACC-30,Simmons Inc,Hallchester,Switzerland,95101,Ohio,6215 Blackwell Park Suite 509,2021-04-01T16:18:00+0200,Finance,514.091.3229x4700,https://www.simmonsinc.com
ACC-31,"Peterson, Ballard and Leonard",South Alejandro,Equatorial Guinea,17606,Virginia,06291 Moody Trail,2023-08-12T00:17:00+0200,Technology,808992708,"https://www.peterson,ballardandleonard.com"
ACC-32,"Avila, Maldonado and Salinas",Robertmouth,Korea,77698,New Jersey,026 Jeffrey Roads Apt. 327,2024-06-04T04:41:00+0200,Consulting,240-979-1090x9778,"https://www.avila,maldonadoandsalinas.com"
ACC-33,Gates-Casey,Rebeccamouth,British Indian Ocean Territory (Chagos Archipelago),7716,Colorado,9060 Michelle Pike,2023-01-06T00:42:00+0200,Healthcare,4654181470,https://www.gates-casey.com
ACC-34,"Thomas, Burke and Orozco",Port Stephenshire,Bolivia,44515,Tennessee,236 Palmer Corner,2024-05-02T06:24:00+0200,Transportation,(311)327-8870x803,"https://www.thomas,burkeandorozco.com"
ACC-35,"Scott, Randall and Warren",West Calvinview,Venezuela,4708,New Mexico,0240 Holder Ports Suite 136,2020-02-10T13:09:00+0200,Real Estate,9869003615,"https://www.scott,randallandwarren.com"
ACC-36,Bruce Group,New Michaelburgh,New Zealand,33226,Wyoming,778 Matthew Trace Apt. 146,2022-10-05T09:58:00+0200,Technology,6571950494,https://www.brucegroup.com
